"run_name","model","seed","status","train_n","validation_n","test_n","epochs_max","early_stopping_patience","selection_metric","test_evaluations_during_training","test_evaluations_total","contact_mode","contact_stat_mode","contact_checkpoint","contact_head_frozen","shared_encoders_finetuned","total_parameters","trainable_parameters","contact_head_parameters","selected_epoch"
"r2_independent_deeprsma_seed1","DeepRSMA","1","COMPLETED","113","28","48","100","15","validation_rmse","0","1","none","predicted","","True","True","7077394","7019793","57601","13"
"r2_independent_deeprsma_seed2","DeepRSMA","2","COMPLETED","113","28","48","100","15","validation_rmse","0","1","none","predicted","","True","True","7077394","7019793","57601","42"
"r2_independent_deeprsma_seed3","DeepRSMA","3","COMPLETED","113","28","48","100","15","validation_rmse","0","1","none","predicted","","True","True","7077394","7019793","57601","51"
"r2_independent_contact500_no_sca_seed1","Contact500 pretraining without SCA","1","COMPLETED","113","28","48","100","15","validation_rmse","0","1","none","predicted","checkpoints/contact_pretrain_rna_only_500.pth","True","True","7077394","7019793","57601","38"
"r2_independent_contact500_no_sca_seed2","Contact500 pretraining without SCA","2","COMPLETED","113","28","48","100","15","validation_rmse","0","1","none","predicted","checkpoints/contact_pretrain_rna_only_500.pth","True","True","7077394","7019793","57601","28"
"r2_independent_contact500_no_sca_seed3","Contact500 pretraining without SCA","3","COMPLETED","113","28","48","100","15","validation_rmse","0","1","none","predicted","checkpoints/contact_pretrain_rna_only_500.pth","True","True","7077394","7019793","57601","30"
"r2_independent_contact270_no_sca_seed1","Global-deoverlap Contact270 pretraining without SCA","1","COMPLETED","113","28","48","100","15","validation_rmse","0","1","none","predicted","checkpoints/contact_pretrain_global_deoverlap_r80_l80.pth","True","True","7077394","7019793","57601","20"
"r2_independent_contact270_no_sca_seed2","Global-deoverlap Contact270 pretraining without SCA","2","COMPLETED","113","28","48","100","15","validation_rmse","0","1","none","predicted","checkpoints/contact_pretrain_global_deoverlap_r80_l80.pth","True","True","7077394","7019793","57601","32"
"r2_independent_contact270_no_sca_seed3","Global-deoverlap Contact270 pretraining without SCA","3","COMPLETED","113","28","48","100","15","validation_rmse","0","1","none","predicted","checkpoints/contact_pretrain_global_deoverlap_r80_l80.pth","True","True","7077394","7019793","57601","35"
"r2_independent_sca_random_head_seed1","SCA without contact pretraining","1","COMPLETED","113","28","48","100","15","validation_rmse","0","1","cmif_residual","predicted","","True","True","7077394","7019793","57601","39"
"r2_independent_sca_random_head_seed2","SCA without contact pretraining","2","COMPLETED","113","28","48","100","15","validation_rmse","0","1","cmif_residual","predicted","","True","True","7077394","7019793","57601","42"
"r2_independent_sca_random_head_seed3","SCA without contact pretraining","3","COMPLETED","113","28","48","100","15","validation_rmse","0","1","cmif_residual","predicted","","True","True","7077394","7019793","57601","56"
"r2_independent_structrsma_contact500_seed1","StructRSMA: Contact500 pretraining plus SCA","1","COMPLETED","113","28","48","100","15","validation_rmse","0","1","cmif_residual","predicted","checkpoints/contact_pretrain_rna_only_500.pth","True","True","7077394","7019793","57601","31"
"r2_independent_structrsma_contact500_seed2","StructRSMA: Contact500 pretraining plus SCA","2","COMPLETED","113","28","48","100","15","validation_rmse","0","1","cmif_residual","predicted","checkpoints/contact_pretrain_rna_only_500.pth","True","True","7077394","7019793","57601","57"
"r2_independent_structrsma_contact500_seed3","StructRSMA: Contact500 pretraining plus SCA","3","COMPLETED","113","28","48","100","15","validation_rmse","0","1","cmif_residual","predicted","checkpoints/contact_pretrain_rna_only_500.pth","True","True","7077394","7019793","57601","67"
"r2_independent_structrsma_contact270_seed1","StructRSMA: Contact270 pretraining plus SCA","1","COMPLETED","113","28","48","100","15","validation_rmse","0","1","cmif_residual","predicted","checkpoints/contact_pretrain_global_deoverlap_r80_l80.pth","True","True","7077394","7019793","57601","44"
"r2_independent_structrsma_contact270_seed2","StructRSMA: Contact270 pretraining plus SCA","2","COMPLETED","113","28","48","100","15","validation_rmse","0","1","cmif_residual","predicted","checkpoints/contact_pretrain_global_deoverlap_r80_l80.pth","True","True","7077394","7019793","57601","32"
"r2_independent_structrsma_contact270_seed3","StructRSMA: Contact270 pretraining plus SCA","3","COMPLETED","113","28","48","100","15","validation_rmse","0","1","cmif_residual","predicted","checkpoints/contact_pretrain_global_deoverlap_r80_l80.pth","True","True","7077394","7019793","57601","30"
"r2_independent_sca_shuffled_contact_seed1","Shuffled-contact pretraining plus SCA","1","COMPLETED","113","28","48","100","15","validation_rmse","0","1","cmif_residual","predicted","checkpoints/contact_pretrain_rna_only_500_shuffle.pth","True","True","7077394","7019793","57601","41"
"r2_independent_sca_shuffled_contact_seed2","Shuffled-contact pretraining plus SCA","2","COMPLETED","113","28","48","100","15","validation_rmse","0","1","cmif_residual","predicted","checkpoints/contact_pretrain_rna_only_500_shuffle.pth","True","True","7077394","7019793","57601","31"
"r2_independent_sca_shuffled_contact_seed3","Shuffled-contact pretraining plus SCA","3","COMPLETED","113","28","48","100","15","validation_rmse","0","1","cmif_residual","predicted","checkpoints/contact_pretrain_rna_only_500_shuffle.pth","True","True","7077394","7019793","57601","55"
"r2_independent_matched_adapter_zero_contact_seed1","Parameter-matched residual adapter with zero contact statistics","1","COMPLETED","113","28","48","100","15","validation_rmse","0","1","cmif_residual","zero","","True","True","7077394","7019793","57601","43"
"r2_independent_matched_adapter_zero_contact_seed2","Parameter-matched residual adapter with zero contact statistics","2","COMPLETED","113","28","48","100","15","validation_rmse","0","1","cmif_residual","zero","","True","True","7077394","7019793","57601","42"
"r2_independent_matched_adapter_zero_contact_seed3","Parameter-matched residual adapter with zero contact statistics","3","COMPLETED","113","28","48","100","15","validation_rmse","0","1","cmif_residual","zero","","True","True","7077394","7019793","57601","42"
