"setting","split","model","eligible_targets_n_ge_5","fisher_z_aggregated_pcc"
"cold_rna","split2026","Contact500 pretraining without SCA","14","0.0036142880106989376"
"cold_rna","split2026","DeepRSMA","14","0.026749671756535264"
"cold_rna","split2026","Ligand-only descriptors","14","0.22314252819785418"
"cold_rna","split2026","RNA+ligand descriptors","14","0.22973599044772314"
"cold_rna","split2026","Sequence-SMILES ridge","14","-0.11768430810864942"
"cold_rna","split2027","Contact500 pretraining without SCA","10","0.2099575934256875"
"cold_rna","split2027","DeepRSMA","10","0.2604983147347759"
"cold_rna","split2027","Ligand-only descriptors","10","0.022907204413808963"
"cold_rna","split2027","RNA+ligand descriptors","10","0.052654965702882986"
"cold_rna","split2027","Sequence-SMILES ridge","10","-0.4305083458237041"
"cold_rna","split2028","Contact500 pretraining without SCA","15","0.13313802447800216"
"cold_rna","split2028","DeepRSMA","15","0.1706886244777291"
"cold_rna","split2028","Ligand-only descriptors","15","0.43105689055739027"
"cold_rna","split2028","RNA+ligand descriptors","15","0.47169372281544564"
"cold_rna","split2028","Sequence-SMILES ridge","15","0.14691048482324254"
"cold_scaffold","split2026","Contact500 pretraining without SCA","23","0.25048936992976273"
"cold_scaffold","split2026","DeepRSMA","23","0.41439232727270914"
"cold_scaffold","split2026","Ligand-only descriptors","23","0.5368210077262819"
"cold_scaffold","split2026","RNA+ligand descriptors","23","0.5022196118294032"
"cold_scaffold","split2026","Sequence-SMILES ridge","23","0.42550137179131514"
"cold_scaffold","split2027","Contact500 pretraining without SCA","8","0.41662410387091997"
"cold_scaffold","split2027","DeepRSMA","8","0.5279292590706244"
"cold_scaffold","split2027","Ligand-only descriptors","8","0.5162575991572211"
"cold_scaffold","split2027","RNA+ligand descriptors","8","0.6785220699326796"
"cold_scaffold","split2027","Sequence-SMILES ridge","8","0.5156057930372584"
"cold_scaffold","split2028","Contact500 pretraining without SCA","21","0.39119257285813924"
"cold_scaffold","split2028","DeepRSMA","21","0.4224129398516657"
"cold_scaffold","split2028","Ligand-only descriptors","21","0.5328209937056508"
"cold_scaffold","split2028","RNA+ligand descriptors","21","0.4886383743005919"
"cold_scaffold","split2028","Sequence-SMILES ridge","21","0.18467556996503035"
"double_cold","split2026","Contact500 pretraining without SCA","5","0.2805310811808747"
"double_cold","split2026","DeepRSMA","5","0.4706378060239865"
"double_cold","split2026","Ligand-only descriptors","5","0.21858711462092797"
"double_cold","split2026","RNA+ligand descriptors","5","0.10538914913259557"
"double_cold","split2026","Sequence-SMILES ridge","5","0.33929139529005803"
"double_cold","split2027","Contact500 pretraining without SCA","8","0.046659596034594124"
"double_cold","split2027","DeepRSMA","8","0.22137377691539825"
"double_cold","split2027","Ligand-only descriptors","8","0.35260112450136555"
"double_cold","split2027","RNA+ligand descriptors","8","0.10922566587900791"
"double_cold","split2027","Sequence-SMILES ridge","8","-0.012512524745818624"
"double_cold","split2028","Contact500 pretraining without SCA","10","0.2711912331611007"
"double_cold","split2028","DeepRSMA","10","0.2971814074828001"
"double_cold","split2028","Ligand-only descriptors","10","0.44568377134826354"
"double_cold","split2028","RNA+ligand descriptors","10","0.5644539774591326"
"double_cold","split2028","Sequence-SMILES ridge","10","0.175856903818818"
