"setting","model","baseline","metric","paired_units","delta","ci95_low","ci95_high","empirical_two_sided_p"
"cold_rna","Contact500 pretraining without SCA","DeepRSMA","pcc","3","-0.04434098219993746","-0.0898670300267201","-0.001845970330440291","0.044"
"cold_rna","Contact500 pretraining without SCA","DeepRSMA","scc","3","-0.0415081013668416","-0.0816410145793018","-0.004079741721777025","0.029"
"cold_rna","Contact500 pretraining without SCA","DeepRSMA","rmse","3","-0.07366547914018451","-0.18794361788784414","0.03735947017365318","0.223"
"cold_rna","Contact500 pretraining without SCA","DeepRSMA","mae","3","-0.05153273126192759","-0.12599795019874752","0.01606540323902802","0.173"
"cold_rna","Ligand-only descriptors","DeepRSMA","pcc","3","0.07379574380894822","-0.20434952455111188","0.35019726166640736","0.637"
"cold_rna","Ligand-only descriptors","DeepRSMA","scc","3","0.06521312296813953","-0.2953982553437811","0.4023847854653866","0.714"
"cold_rna","Ligand-only descriptors","DeepRSMA","rmse","3","-0.3487962805036506","-0.6935395106569608","0.04463001034515265","0.071"
"cold_rna","Ligand-only descriptors","DeepRSMA","mae","3","-0.254244093856398","-0.5027216773013835","0.03409765718794043","0.071"
"cold_rna","RNA+ligand descriptors","DeepRSMA","pcc","3","0.13493282076190757","-0.11075876614251899","0.3384849318955924","0.331"
"cold_rna","RNA+ligand descriptors","DeepRSMA","scc","3","0.10347935806073756","-0.17359795836582426","0.31537690113282274","0.521"
"cold_rna","RNA+ligand descriptors","DeepRSMA","rmse","3","-0.41113880594807095","-0.7524132049131029","-0.044085195956812984","0.001"
"cold_rna","RNA+ligand descriptors","DeepRSMA","mae","3","-0.29178200336610643","-0.5447584259681797","-0.018525812356710504","0.029"
"cold_rna","Sequence-SMILES ridge","DeepRSMA","pcc","3","-0.17217426361473157","-0.5231466535920436","0.10623376990202202","0.332"
"cold_rna","Sequence-SMILES ridge","DeepRSMA","scc","3","-0.19262083692362772","-0.6055181023488713","0.10746901856320208","0.394"
"cold_rna","Sequence-SMILES ridge","DeepRSMA","rmse","3","-0.1518334945777846","-0.5880817956181399","0.14761311171108152","0.549"
"cold_rna","Sequence-SMILES ridge","DeepRSMA","mae","3","-0.06621736647530156","-0.3961005878622854","0.1701830188831247","0.627"
"cold_scaffold","Contact500 pretraining without SCA","DeepRSMA","pcc","3","0.01838050199126212","-0.08488583157680585","0.15538154510239438","0.781"
"cold_scaffold","Contact500 pretraining without SCA","DeepRSMA","scc","3","0.002481624612579595","-0.14153704573862713","0.18314057099657646","0.99"
"cold_scaffold","Contact500 pretraining without SCA","DeepRSMA","rmse","3","0.04114160338609015","-0.03927287043443208","0.10815312596028215","0.313"
"cold_scaffold","Contact500 pretraining without SCA","DeepRSMA","mae","3","0.026286075192012204","-0.03541225340912454","0.08710742721846469","0.416"
"cold_scaffold","Ligand-only descriptors","DeepRSMA","pcc","3","0.13262525436386974","0.0332120626411546","0.23159200095652904","0.009"
"cold_scaffold","Ligand-only descriptors","DeepRSMA","scc","3","0.1295470060327766","-0.0022064321506993596","0.26565181263672916","0.055"
"cold_scaffold","Ligand-only descriptors","DeepRSMA","rmse","3","-0.11511159783066087","-0.1888295604101161","-0.04596175634830485","0.0"
"cold_scaffold","Ligand-only descriptors","DeepRSMA","mae","3","-0.13138011404889718","-0.21087245795854828","-0.05418886390732782","0.0"
"cold_scaffold","RNA+ligand descriptors","DeepRSMA","pcc","3","0.3407229957460561","0.2186697696597506","0.4467240972758406","0.0"
"cold_scaffold","RNA+ligand descriptors","DeepRSMA","scc","3","0.3886998506248114","0.23863101398901035","0.517001426410605","0.0"
"cold_scaffold","RNA+ligand descriptors","DeepRSMA","rmse","3","-0.30178251326130595","-0.3591489632719839","-0.24952931530001646","0.0"
"cold_scaffold","RNA+ligand descriptors","DeepRSMA","mae","3","-0.30666874813670447","-0.36072066166748606","-0.2569849200153851","0.0"
"cold_scaffold","Sequence-SMILES ridge","DeepRSMA","pcc","3","0.21299670128292605","0.03743102494841312","0.34791017689480713","0.005"
"cold_scaffold","Sequence-SMILES ridge","DeepRSMA","scc","3","0.22255349787876","0.04514471805987092","0.37349730639792283","0.003"
"cold_scaffold","Sequence-SMILES ridge","DeepRSMA","rmse","3","-0.16091871253000098","-0.2265849098944773","-0.09102882076432","0.0"
"cold_scaffold","Sequence-SMILES ridge","DeepRSMA","mae","3","-0.1686582871952346","-0.23891337421453573","-0.09158067794284402","0.0"
"double_cold","Contact500 pretraining without SCA","DeepRSMA","pcc","3","0.15529333602157733","-0.07330491332054478","0.4619023672101232","0.384"
"double_cold","Contact500 pretraining without SCA","DeepRSMA","scc","3","0.18548733040747697","-0.00045254906104066884","0.4172362940556749","0.051"
"double_cold","Contact500 pretraining without SCA","DeepRSMA","rmse","3","-0.16668509526328745","-0.4224231718743082","0.007087076631959489","0.09"
"double_cold","Contact500 pretraining without SCA","DeepRSMA","mae","3","-0.1631852086433038","-0.37566555670663426","-0.015281521577780831","0.013"
"double_cold","Ligand-only descriptors","DeepRSMA","pcc","3","0.06343870670965225","-0.0533025447038177","0.17773046494171585","0.283"
"double_cold","Ligand-only descriptors","DeepRSMA","scc","3","0.05684039110488596","-0.06743092973115211","0.1817965001282209","0.374"
"double_cold","Ligand-only descriptors","DeepRSMA","rmse","3","-0.16338905974086662","-0.3026834234163261","-0.026185426649845286","0.006"
"double_cold","Ligand-only descriptors","DeepRSMA","mae","3","-0.15420137136096068","-0.27470155132957447","-0.03977407070305731","0.002"
"double_cold","RNA+ligand descriptors","DeepRSMA","pcc","3","0.06042500489161998","-0.09292848138674692","0.2046044895444539","0.474"
"double_cold","RNA+ligand descriptors","DeepRSMA","scc","3","0.06252394071779921","-0.1086757202477142","0.2076266941992887","0.492"
"double_cold","RNA+ligand descriptors","DeepRSMA","rmse","3","-0.17316361232124203","-0.3559837246451231","0.06930613266142842","0.088"
"double_cold","RNA+ligand descriptors","DeepRSMA","mae","3","-0.15348049811510123","-0.30398901757913616","0.05071633660338509","0.078"
"double_cold","Sequence-SMILES ridge","DeepRSMA","pcc","3","-0.0842839147629093","-0.23502209375405336","0.09159694893025194","0.331"
"double_cold","Sequence-SMILES ridge","DeepRSMA","scc","3","-0.0748878202911498","-0.23141474348910385","0.09398930981385722","0.38"
"double_cold","Sequence-SMILES ridge","DeepRSMA","rmse","3","-0.05384304540953888","-0.2444795443667759","0.1917150335446989","0.612"
"double_cold","Sequence-SMILES ridge","DeepRSMA","mae","3","-0.04562078949207763","-0.20382842914968005","0.1403118201988672","0.607"
"independent","Contact500 pretraining without SCA","DeepRSMA","pcc","3","0.030807034946533658","-0.03210871119623658","0.13215949449031902","0.543"
"independent","Contact500 pretraining without SCA","DeepRSMA","scc","3","0.05871124743208463","-0.03980174159933256","0.18526135491159135","0.356"
"independent","Contact500 pretraining without SCA","DeepRSMA","rmse","3","-0.019022206043102636","-0.061686358999251324","0.014265160945326129","0.351"
"independent","Contact500 pretraining without SCA","DeepRSMA","mae","3","-0.013753599590725382","-0.06442429166701104","0.023796473609076614","0.618"
"independent","Global-deoverlap Contact270 pretraining without SCA","DeepRSMA","pcc","3","0.03460813246380573","-0.07815987075252157","0.14562453266934397","0.534"
"independent","Global-deoverlap Contact270 pretraining without SCA","DeepRSMA","scc","3","0.08121873335057872","-0.06350114637338519","0.2408581469220574","0.324"
"independent","Global-deoverlap Contact270 pretraining without SCA","DeepRSMA","rmse","3","-0.004191239745843567","-0.071622310039036","0.05454931363404936","0.924"
"independent","Global-deoverlap Contact270 pretraining without SCA","DeepRSMA","mae","3","-0.005327416790856243","-0.07219159280260402","0.049375057965517034","0.886"
"independent","Ligand-only descriptors","DeepRSMA","pcc","3","-0.8365601711870155","-1.02226507798911","-0.6181288084763079","0.0"
"independent","Ligand-only descriptors","DeepRSMA","scc","3","-0.7641146726654023","-0.9575946965255329","-0.5351191087469002","0.0"
"independent","Ligand-only descriptors","DeepRSMA","rmse","3","0.27788435995849753","0.18146174776111176","0.36123631862495253","0.0"
"independent","Ligand-only descriptors","DeepRSMA","mae","3","0.21906719531522303","0.13492600646990047","0.29706266699231737","0.0"
"independent","RNA+ligand descriptors","DeepRSMA","pcc","3","-0.6113366349878141","-0.8099381175918102","-0.4270046359220503","0.0"
"independent","RNA+ligand descriptors","DeepRSMA","scc","3","-0.6809238203718045","-0.8757053447294539","-0.45158110112981165","0.0"
"independent","RNA+ligand descriptors","DeepRSMA","rmse","3","0.16128387972244554","0.09269825290983429","0.22619963890753045","0.0"
"independent","RNA+ligand descriptors","DeepRSMA","mae","3","0.13774353885323645","0.07308894558378902","0.2018460491589541","0.001"
"independent","Sequence-SMILES ridge","DeepRSMA","pcc","3","-0.0008700581874755605","-0.1506880527035445","0.1478433852113361","0.984"
"independent","Sequence-SMILES ridge","DeepRSMA","scc","3","0.05453180269963115","-0.13441294159645173","0.23306641640744588","0.595"
"independent","Sequence-SMILES ridge","DeepRSMA","rmse","3","0.030987404674135854","-0.044483818478423844","0.10318371932223354","0.432"
"independent","Sequence-SMILES ridge","DeepRSMA","mae","3","0.04983072554891913","-0.03159904000594941","0.1285370468486078","0.239"
