"setting","split","model","run_seed","n","selected_epoch","gradient_bearing_parameter_count","pcc","scc","rmse","mae"
"independent","seed1","Global-deoverlap Contact270 pretraining without SCA","1","48","20.0","3193475.0","0.4217690800543326","0.3832605098162863","0.9622611773741676","0.7611099233229955"
"independent","seed2","Global-deoverlap Contact270 pretraining without SCA","2","48","32.0","3193475.0","0.3231878850601594","0.30884468217740674","1.0062698762137605","0.8005057126283646"
"independent","seed3","Global-deoverlap Contact270 pretraining without SCA","3","48","35.0","3193475.0","0.521353176764252","0.5860992755978275","0.9289031841021899","0.7366585979859034"
"independent","seed1","Contact500 pretraining without SCA","1","48","38.0","3193475.0","0.466661961000266","0.4815588787834715","0.9268632052805115","0.7281639526287714"
"independent","seed2","Contact500 pretraining without SCA","2","48","28.0","3193475.0","0.4167765325537144","0.40752300066572406","0.9527670914846286","0.7664913684129715"
"independent","seed3","Contact500 pretraining without SCA","3","48","30.0","3193475.0","0.3714683557729476","0.3216001303868427","0.9733110420332006","0.7783403644959132"
"independent","seed1","DeepRSMA","1","48","13.0","3193475.0","0.3642339409004303","0.31524954553363416","0.9751733263722495","0.7784750312566757"
"independent","seed2","DeepRSMA","2","48","42.0","3193475.0","0.40678047688352453","0.3718077456793034","0.9562583696503104","0.7562807351350784"
"independent","seed3","DeepRSMA","3","48","51.0","3193475.0","0.39147132670337176","0.3474909763268468","0.9785762609050888","0.7795007179180781"
"independent","seed1","Ligand-only descriptors","1","48","","","-0.4129004765919634","-0.3707221756189259","1.2404845904166266","0.9740146703622227"
"independent","seed2","Ligand-only descriptors","2","48","","","-0.47938517288689425","-0.45078296757176856","1.2551110064858446","1.0010955264461632"
"independent","seed3","Ligand-only descriptors","3","48","","","-0.4549091195948616","-0.43629060726572855","1.24806543990067","0.9963478734471156"
"independent","seed1","RNA+ligand descriptors","1","48","","","-0.2231862589986458","-0.32382554901061666","1.1328383737975147","0.9043320112535694"
"independent","seed2","RNA+ligand descriptors","2","48","","","-0.23283903140193","-0.3505848509989227","1.1321382593749696","0.9099757113964587"
"independent","seed3","RNA+ligand descriptors","3","48","","","-0.21549887007553972","-0.3338127935660899","1.128882962922501","0.9131793782195133"
"independent","seed1","Sequence-SMILES ridge","1","48","","","0.3866251899749667","0.3993812252128926","1.000990056983352","0.8212495536521965"
"independent","seed2","Sequence-SMILES ridge","2","48","","","0.3866251899749667","0.3993812252128926","1.000990056983352","0.8212495536521965"
"independent","seed3","Sequence-SMILES ridge","3","48","","","0.3866251899749667","0.3993812252128926","1.000990056983352","0.8212495536521965"
"cold_rna","split2026","DeepRSMA","1","297","8.0","","0.3624654509876428","0.3293781534556629","1.9437188417843851","1.4121394927553859"
"cold_rna","split2026","Contact500 pretraining without SCA","1","297","18.0","","0.28380402979436953","0.27656479595635264","1.8993142402239251","1.384263081131158"
"cold_rna","split2027","DeepRSMA","1","372","14.0","","0.3896642317748971","0.4424004990712866","1.4177236152494208","1.1443939388839788"
"cold_rna","split2027","Contact500 pretraining without SCA","1","372","10.0","","0.3652047746069625","0.4113928397389901","1.4238561269084833","1.144726180301238"
"cold_rna","split2028","DeepRSMA","1","291","4.0","","0.07122679340885738","-0.018619778403919745","1.6453742509950702","1.2955653232192665"
"cold_rna","split2028","Contact500 pretraining without SCA","1","291","3.0","","0.04132472517025283","-0.05932306567283777","1.4626499034759142","1.1685112996404523"
"cold_scaffold","split2026","DeepRSMA","1","322","3.0","","0.2818413728426313","0.2486561961093092","1.3341465697059545","1.0641046718040608"
"cold_scaffold","split2026","Contact500 pretraining without SCA","1","322","18.0","","0.44935461376601943","0.4471537243559279","1.2965112799380494","1.0488899427911509"
"cold_scaffold","split2027","DeepRSMA","1","292","17.0","","0.5294317892446728","0.5584114065690429","1.3219016908084897","1.0409632516029763"
"cold_scaffold","split2027","Contact500 pretraining without SCA","1","292","47.0","","0.5001029806340608","0.5188855524643263","1.378043062355881","1.0443226943073207"
"cold_scaffold","split2028","DeepRSMA","1","306","0.0","","0.2158215419368362","0.2313528690587887","1.2842290991280314","1.0165202216385236"
"cold_scaffold","split2028","Contact500 pretraining without SCA","1","306","0.0","","0.13277861559784657","0.07982606875462536","1.3891478275068156","1.1072337335231257"
"double_cold","split2026","DeepRSMA","1","170","12.0","","-0.020970256347974597","0.026257032483408427","1.7556822893679598","1.4338341544656192"
"double_cold","split2026","Contact500 pretraining without SCA","1","170","4.0","","0.4743389126869399","0.47615787823160616","1.3161922749796957","1.0370697862961713"
"double_cold","split2027","DeepRSMA","1","234","6.0","","0.21312806094993","0.18385814371825066","1.6206717409678844","1.345236654019254"
"double_cold","split2027","Contact500 pretraining without SCA","1","234","17.0","","0.2466718943586557","0.2222939268638481","1.6200512458829712","1.3137975697461357"
"double_cold","split2028","DeepRSMA","1","204","18.0","","0.20492761499445059","0.01890546421059583","1.72548842845336","1.3835006999034507"
"double_cold","split2028","Contact500 pretraining without SCA","1","204","55.0","","0.14195462061554262","0.08703082653923157","1.6655436521366749","1.3221485264161055"
"cold_rna","split2026","Ligand-only descriptors","1","297","","","0.4576506547455109","0.4288824167883094","1.2322614211132494","0.8919899729168684"
"cold_rna","split2027","Ligand-only descriptors","2","372","","","0.16066943292266614","0.1225743698382611","1.4759486179590886","1.1924888360879693"
"cold_rna","split2028","Ligand-only descriptors","3","291","","","0.4264236199300648","0.3973414564008778","1.2522178274455862","1.0048876642845994"
"cold_rna","split2026","RNA+ligand descriptors","1","297","","","0.5751030639533486","0.5522820030151463","1.1479793622851677","0.844882674281413"
"cold_rna","split2027","RNA+ligand descriptors","2","372","","","0.2428948839537916","0.2275741910616744","1.39272969576349","1.1500585096464613"
"cold_rna","split2028","RNA+ligand descriptors","3","291","","","0.4101569905499797","0.2837407542284217","1.2326912321360053","0.9818115608324377"
"cold_rna","split2026","Sequence-SMILES ridge","1","297","","","0.28551738848017943","0.27747966408907837","1.325057843870134","1.0036763495431995"
"cold_rna","split2027","Sequence-SMILES ridge","2","372","","","-0.15635272999197314","-0.18734187965498011","1.5678382899816905","1.3160603461577325"
"cold_rna","split2028","Sequence-SMILES ridge","3","291","","","0.177669026838997","0.08515857891804826","1.6584200904436976","1.3337099597317943"
"cold_scaffold","split2026","Ligand-only descriptors","1","322","","","0.4948253770084817","0.5060322071852608","1.1715119344234455","0.8686559927925941"
"cold_scaffold","split2027","Ligand-only descriptors","2","292","","","0.5742801472357477","0.5674823831360502","1.202303006408378","0.9062396730133185"
"cold_scaffold","split2028","Ligand-only descriptors","3","306","","","0.3558649428715203","0.35354689951415974","1.2211276253186698","0.9525521370929565"
"cold_scaffold","split2026","RNA+ligand descriptors","1","322","","","0.6821459073794912","0.7487983079957089","1.009522534519654","0.7312851032576072"
"cold_scaffold","split2027","RNA+ligand descriptors","2","292","","","0.737973524342165","0.7876689307072512","1.0175372614384433","0.7297043436062174"
"cold_scaffold","split2028","RNA+ligand descriptors","3","306","","","0.6291442595406523","0.668052784908615","1.0078700239004605","0.7405924537716227"
"cold_scaffold","split2026","Sequence-SMILES ridge","1","322","","","0.5630231075870944","0.590114119260907","1.1480875374741821","0.8483068922890852"
"cold_scaffold","split2027","Sequence-SMILES ridge","2","292","","","0.5621121019425666","0.5930233907976606","1.2237854877822114","0.9457180010526196"
"cold_scaffold","split2028","Sequence-SMILES ridge","3","306","","","0.5409495983432578","0.5229434553148532","1.0856481967960792","0.8215883901181521"
"double_cold","split2026","Ligand-only descriptors","1","170","","","0.07675977315681079","0.021261353053256108","1.480304003346599","1.1751198225078612"
"double_cold","split2027","Ligand-only descriptors","2","234","","","0.3343746307687587","0.3458280420552499","1.5950128361194142","1.310856730748557"
"double_cold","split2028","Ligand-only descriptors","3","204","","","0.17626713579979345","0.032452418618406774","1.5363584401005907","1.2139908410490234"
"double_cold","split2026","RNA+ligand descriptors","1","170","","","0.12186918553401319","0.14606105520968693","1.460110711538266","1.1740456473405598"
"double_cold","split2027","RNA+ligand descriptors","2","234","","","0.11733975987974382","0.0748282212763957","1.6987686324912725","1.4039835064374173"
"double_cold","split2028","RNA+ligand descriptors","3","204","","","0.3391514888575089","0.1957031860795699","1.4234722777959394","1.124100860265043"
"double_cold","split2026","Sequence-SMILES ridge","1","170","","","0.07060783024347005","0.12477128819114934","1.5206074026099907","1.2326998505816285"
"double_cold","split2027","Sequence-SMILES ridge","2","234","","","0.026932309389199008","-0.015102256836692538","1.8193115227315848","1.494642638532978"
"double_cold","split2028","Sequence-SMILES ridge","3","204","","","0.04669353567500888","-0.10531185181565134","1.6003943972190118","1.2983666507974845"
