Entry_ID,SMILES,scaffold,pKd,partition
286,c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C,c1cc2c(c3c1N=C1NCCCC13)CCCO2,6.14266750356873,train
287,CN(C)CCCN1C2=C(C=CC(=C2)OCCCN(C)C)N=C1N,c1ccc2[nH]cnc2c1,4.76955107862173,train
305,CC(C)N=C(C1=CC=CC(=C1)C2=CC=C(O2)C3=CC(=CC=C3)C(=NC(C)C)N)N,c1ccc(-c2ccc(-c3ccccc3)o2)cc1,5.30102999566398,train
306,CN(C)CCN=C(C1=CC=CC(=C1)C2=CC=C(O2)C3=CC(=CC=C3)C(=NCCN(C)C)N)N,c1ccc(-c2ccc(-c3ccccc3)o2)cc1,7.0,train
307,CN(C)CCCN=C(C1=CC=CC(=C1)C2=CC=C(O2)C3=CC(=CC=C3)C(=NCCCN(C)C)N)N,c1ccc(-c2ccc(-c3ccccc3)o2)cc1,5.79588001734408,train
731,[C@@H]1([C@H]([C@H]([C@H](O[C@@H]1CNC(=N)N)O[C@@H]1[C@@H]([C@@H]([C@H](C[C@H]1NC(=N)N)NC(=N)N)O)O[C@H]1[C@@H]([C@H]([C@@H](O1)CO)O[C@H]1O[C@H]([C@H]([C@@H]([C@@H]1NC(=N)N)O)O)CNC(=N)N)O)NC(=N)N)O)O,C1CCC(OC2COC(OC3CCCCC3OC3CCCCO3)C2)OC1,8.0,validation
732,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,5.55284196865778,train
733,c1cc(ccc1)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)c1cc2ccccc2nc1CC)CSSC[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)NCCCN)Cc1ccccc1)NC(=O)c1c(nc2c(c1)cccc2)CC)C(=O)NCCCN,O=C(NC(CSSCC(NC(=O)c1cnc2ccccc2c1)C(=O)N1CCCC1C(=O)NCCc1ccccc1)C(=O)N1CCCC1C(=O)NCCc1ccccc1)c1cnc2ccccc2c1,6.45593195564972,train
734,CC1=NC2=NC(=NN2C(=C1)N3CCN(CC3)C)C4=CC=C(C=C4)Cl,c1ccc(-c2nc3nccc(N4CCNCC4)n3n2)cc1,4.95860731484177,train
735,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H](C3=C2COC(=O)N)N4C)OC,O=C1C=CC(=O)c2c1cc1n2CC2NC12,4.00877392430751,train
847,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O,C1CCC(OC2OCCC2OC2CCCCO2)CC1,6.0,train
849,[C@H]1([C@H](C[C@H]([C@H]([C@H]1O)O[C@@H]1[C@@H](C[C@@H]([C@@H](O1)CN)O)N)N)N)O[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)CNc1c2ccccc2nc2c1cccc2)O)N)O,c1ccc2c(NCC3CCCC(OC4CCCC(OC5CCCCO5)C4)O3)c3ccccc3nc2c1,5.52287874528034,train
899,CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN(C)C,c1ccc2c(c1)Nc1ccccc1S2,3.48148606012211,train
900,CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN(C)C,c1ccc2c(c1)Nc1ccccc1S2,2.74472749489669,train
949,N([C@@H](C(=O)N1[C@@H](CCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCCCCN)CSSC[C@@H](NC(=O)c1c(nc2c(cccc2)c1)CC)C(=O)N1[C@@H](CCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCCCCN)C(=O)c1c2c(nc(c1)CC)cccc2,O=C(NC(CSSCC(NC(=O)c1ccnc2ccccc12)C(=O)N1CCCC1C(=O)NCCc1ccccc1)C(=O)N1CCCC1C(=O)NCCc1ccccc1)c1cnc2ccccc2c1,6.45593195564972,train
950,N([C@@H](C(=O)N1[C@@H](CCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCN)CSSC[C@@H](NC(=O)c1c(nc2c(cccc2)c1)CC)C(=O)N1[C@@H](CCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCN)C(=O)c1c2c(nc(c1)CC)cccc2,O=C(NC(CSSCC(NC(=O)c1ccnc2ccccc12)C(=O)N1CCCC1C(=O)NCCc1ccccc1)C(=O)N1CCCC1C(=O)NCCc1ccccc1)c1cnc2ccccc2c1,6.45593195564972,train
