rna_sequence_cluster,n_test_occurrences,n_splits,auprc_mean,auroc_mean,mcc_mean,f1_mean,p_at_5_mean,p_at_10_mean,p_at_nc_mean
RNA_CLUSTER_0005,19,3,0.025917826638955834,0.5726701056516719,0.0504576493479262,0.03488336929594838,0.06315789473684211,0.05789473684210527,0.0227198430859758
RNA_CLUSTER_0131,10,2,0.0368671186716094,0.4820281246784031,-0.04604441969709512,0.0,0.0,0.0,0.0
RNA_CLUSTER_0089,8,2,0.09284153112502469,0.55685177594614,0.03272316677006554,0.05113636363636364,0.025,0.0125,0.0870144110275689
RNA_CLUSTER_0056,6,2,0.022856410343966498,0.6620369904579368,0.04663158239402509,0.04735759768600212,0.0,0.0,0.0
RNA_CLUSTER_0055,5,2,0.18864273771527845,0.5945914468003879,0.21129572112317502,0.20694170177875995,0.64,0.32,0.2800484057666
RNA_CLUSTER_0019,5,1,0.012714903969917821,0.7111175401501839,-0.0074177933236319995,0.0,0.0,0.0,0.0
RNA_CLUSTER_0108,5,1,0.12970845986762952,0.8512791883621077,-0.04676839277930174,0.0,0.0,0.0,0.0
RNA_CLUSTER_0137,5,2,0.4544016229579789,0.8123217962999296,0.1301967627065,0.15268768860201082,0.5599999999999999,0.52,0.3802197802197802
RNA_CLUSTER_0078,5,2,0.10810355688556765,0.600654039957259,0.0435337165243031,0.0917204227837722,0.16,0.13999999999999999,0.14620334620334616
RNA_CLUSTER_0017,4,2,0.0064259732839511245,0.499260537219253,-0.015583358680003573,0.0,0.0,0.0,0.0
RNA_CLUSTER_0100,4,2,0.06086416559917365,0.7225295601996655,-0.02378206246672525,0.0,0.0,0.0,0.0
RNA_CLUSTER_0027,4,2,0.01246292467216995,0.7536775333226272,-0.022906004473965274,0.0,0.0,0.0,0.0
RNA_CLUSTER_0080,4,2,0.08901973561194303,0.5074126833386092,0.055414884483183074,0.13571428571428568,0.0,0.0,0.09615384615384612
RNA_CLUSTER_0036,4,2,0.09864866902212867,0.6475250543544897,0.008411471147486204,0.027777777777777776,0.2,0.175,0.1
RNA_CLUSTER_0026,3,1,0.0457393442184471,0.5453937685933791,-0.006356676217193301,0.04681109736398936,0.0,0.0,0.0625
RNA_CLUSTER_0016,3,1,0.0060422559704216665,0.6002300204561369,-0.018714414311368697,0.0,0.0,0.0,0.0
RNA_CLUSTER_0013,3,2,0.012673039842192901,0.5111176642311901,-0.0188688194048467,0.011818869858955966,0.0,0.0,0.009009009009009
RNA_CLUSTER_0077,3,1,0.13249841490784967,0.4228269078166282,0.0033133196682045996,0.13920237864391438,0.0,0.2333333333333333,0.21062661498708005
RNA_CLUSTER_0084,3,1,0.09866548998250986,0.49443433287537664,-0.16381028585078947,0.0049751243781094336,0.0,0.0,0.0
RNA_CLUSTER_0085,3,3,0.08173294017837923,0.566989046415357,0.0112725457808665,0.04329004329004327,0.13333333333333333,0.13333333333333333,0.037037037037037035
RNA_CLUSTER_0117,3,2,0.19638063709030162,0.4856941653616782,-0.06641009098734973,0.0,0.06666666666666667,0.16666666666666666,0.15555555555555556
RNA_CLUSTER_0144,3,2,0.14128132603938734,0.4730226622799256,-0.2215859918947476,0.07547169811320753,0.0,0.0,0.0
