split,stratifier,stratum,metric,n_complexes,mean,ci95_low,ci95_high
split2026,rna_length_quartile,Q1,auprc,14,0.28790689288701776,0.15366024975850026,0.43355843574750963
split2026,rna_length_quartile,Q1,auroc,14,0.5944293024485388,0.43961129907048235,0.7472733019207224
split2026,rna_length_quartile,Q1,mcc,14,-0.004991875190517927,-0.10599689799130851,0.09618818275011162
split2026,rna_length_quartile,Q1,f1,14,0.0800968975651092,0.02402950310559006,0.1474719908116902
split2026,rna_length_quartile,Q1,p_at_5,14,0.27142857142857146,0.07142857142857142,0.5
split2026,rna_length_quartile,Q1,p_at_10,14,0.2642857142857143,0.07857142857142858,0.4714285714285714
split2026,rna_length_quartile,Q1,p_at_nc,14,0.22242885319808398,0.08529515356438439,0.3697731755424063
split2026,rna_length_quartile,Q2,auprc,18,0.08923396492662272,0.07518328722293936,0.10331197337940609
split2026,rna_length_quartile,Q2,auroc,18,0.5619978917242467,0.4798316146454886,0.6373559868048464
split2026,rna_length_quartile,Q2,mcc,18,-0.032961630456196184,-0.06421056023256205,-0.006197006249282545
split2026,rna_length_quartile,Q2,f1,18,0.02411903909291186,0.004192872117400412,0.04744771367944806
split2026,rna_length_quartile,Q2,p_at_5,18,0.022222222222222223,0.0,0.05555555555555555
split2026,rna_length_quartile,Q2,p_at_10,18,0.03888888888888889,0.005555555555555556,0.08333333333333333
split2026,rna_length_quartile,Q2,p_at_nc,18,0.05582850681109893,0.019954130846751204,0.09837418961182218
split2026,rna_length_quartile,Q3,auprc,11,0.09086600267949127,0.03432958380144194,0.1577041089502252
split2026,rna_length_quartile,Q3,auroc,11,0.6591810258373542,0.5643010974726168,0.7340470714818053
split2026,rna_length_quartile,Q3,mcc,11,0.02955433352941768,-0.017107084055816228,0.08169857457511824
split2026,rna_length_quartile,Q3,f1,11,0.06660279883548545,0.02901772768223395,0.11006287000263391
split2026,rna_length_quartile,Q3,p_at_5,11,0.10909090909090909,0.0,0.23636363636363636
split2026,rna_length_quartile,Q3,p_at_10,11,0.12727272727272726,0.018181818181818184,0.2636363636363636
split2026,rna_length_quartile,Q3,p_at_nc,11,0.11125979875979876,0.02462121212121212,0.20866239616239612
split2026,rna_length_quartile,Q4,auprc,19,0.015554437422494538,0.010764228274613897,0.0217561670681861
split2026,rna_length_quartile,Q4,auroc,19,0.5846416319386275,0.47449168318890383,0.6830602863087808
split2026,rna_length_quartile,Q4,mcc,19,0.046350296945139376,0.021864882979052487,0.07023004339833042
split2026,rna_length_quartile,Q4,f1,19,0.03138028423172632,0.019244827049206152,0.04345649999564381
split2026,rna_length_quartile,Q4,p_at_5,19,0.0,0.0,0.0
split2026,rna_length_quartile,Q4,p_at_10,19,0.010526315789473684,0.0,0.03157894736842106
split2026,rna_length_quartile,Q4,p_at_nc,19,0.007894736842105263,0.0,0.023684210526315787
split2027,rna_length_quartile,Q1,auprc,20,0.08808881106797968,0.06112517741285849,0.11902121412829914
split2027,rna_length_quartile,Q1,auroc,20,0.5394285212956157,0.4602807512541333,0.6126522266296808
split2027,rna_length_quartile,Q1,mcc,20,-0.005521007553582561,-0.05717822325615413,0.05046135193720141
split2027,rna_length_quartile,Q1,f1,20,0.07016655861717008,0.026393656053970878,0.12051930952673581
split2027,rna_length_quartile,Q1,p_at_5,20,0.02,0.0,0.05
split2027,rna_length_quartile,Q1,p_at_10,20,0.02,0.0,0.045
split2027,rna_length_quartile,Q1,p_at_nc,20,0.03747029114676174,0.010795454545454544,0.07226121509209738
split2027,rna_length_quartile,Q2,auprc,4,0.09279491817336472,0.035797723501709906,0.13446974127327152
split2027,rna_length_quartile,Q2,auroc,4,0.5526526332256488,0.4867112080928551,0.6432842562142486
split2027,rna_length_quartile,Q2,mcc,4,0.07697975733807977,0.0020843153072473255,0.12847854498236455
split2027,rna_length_quartile,Q2,f1,4,0.13246753246753243,0.04642857142857142,0.19999999999999996
split2027,rna_length_quartile,Q2,p_at_5,4,0.1,0.0,0.30000000000000004
split2027,rna_length_quartile,Q2,p_at_10,4,0.1,0.0,0.30000000000000004
split2027,rna_length_quartile,Q2,p_at_nc,4,0.08547008547008544,0.027777777777777776,0.12179487179487178
split2027,rna_length_quartile,Q3,auprc,18,0.058303564314345434,0.03299067892738522,0.09409625129537766
split2027,rna_length_quartile,Q3,auroc,18,0.5665416324976824,0.5251266112959532,0.6084429703051475
split2027,rna_length_quartile,Q3,mcc,18,0.028483768992287075,-0.007168260925373372,0.0639544766284086
split2027,rna_length_quartile,Q3,f1,18,0.06560988435096594,0.036648364913035414,0.09645188279747856
split2027,rna_length_quartile,Q3,p_at_5,18,0.044444444444444446,0.0,0.13333333333333336
split2027,rna_length_quartile,Q3,p_at_10,18,0.049999999999999996,0.0,0.13888888888888887
split2027,rna_length_quartile,Q3,p_at_nc,18,0.04063545150501671,0.002564102564102561,0.09401709401709402
split2027,rna_length_quartile,Q4,auprc,8,0.022076092064912536,0.009209261503537524,0.0362088918845304
split2027,rna_length_quartile,Q4,auroc,8,0.4713401757528898,0.35572163823248104,0.5769219816456774
split2027,rna_length_quartile,Q4,mcc,8,-0.0038430302392185372,-0.02289882075659002,0.020561420596145148
split2027,rna_length_quartile,Q4,f1,8,0.024369814162406286,0.011182598039215662,0.03781952484108955
split2027,rna_length_quartile,Q4,p_at_5,8,0.0,0.0,0.0
split2027,rna_length_quartile,Q4,p_at_10,8,0.0,0.0,0.0
split2027,rna_length_quartile,Q4,p_at_nc,8,0.0234375,0.0,0.0703125
split2028,rna_length_quartile,Q1,auprc,12,0.08826652717656765,0.05280929318281505,0.12960267859075672
split2028,rna_length_quartile,Q1,auroc,12,0.4994016986597356,0.3777464205018629,0.6218249694165444
split2028,rna_length_quartile,Q1,mcc,12,0.029014216713781262,-0.030395119535104338,0.10591941339756407
split2028,rna_length_quartile,Q1,f1,12,0.0666036495150419,0.0,0.14495862787002023
split2028,rna_length_quartile,Q1,p_at_5,12,0.016666666666666666,0.0,0.05000000000000001
split2028,rna_length_quartile,Q1,p_at_10,12,0.024999999999999998,0.0,0.075
split2028,rna_length_quartile,Q1,p_at_nc,12,0.013888888888888883,0.0,0.04166666666666665
