source,rna_bin,ligand_bin,n
R-SIM_all,<0.5,<0.4,85
R-SIM_all,<0.5,0.4-0.8,12
R-SIM_all,<0.5,>=0.8,8
R-SIM_all,0.5-0.8,<0.4,544
R-SIM_all,0.5-0.8,0.4-0.8,127
R-SIM_all,0.5-0.8,>=0.8,201
R-SIM_all,>=0.8,<0.4,248
R-SIM_all,>=0.8,0.4-0.8,144
R-SIM_all,>=0.8,>=0.8,70
independent_test,<0.5,<0.4,0
independent_test,<0.5,0.4-0.8,0
independent_test,<0.5,>=0.8,0
independent_test,0.5-0.8,<0.4,0
independent_test,0.5-0.8,0.4-0.8,0
independent_test,0.5-0.8,>=0.8,0
independent_test,>=0.8,<0.4,34
independent_test,>=0.8,0.4-0.8,5
independent_test,>=0.8,>=0.8,9
