setting,model,stratifier,bin,n_pair_seed_observations,n_unique_pairs,absolute_error_improvement_mean,pcc_base,scc_base,rmse_base,mae_base,pcc_model,scc_model,rmse_model,mae_model,delta_pcc,delta_scc,delta_rmse,delta_mae
cold_rna,Contact500 pretraining without SCA,rna_similarity_bin,<0.5,117,71,0.3751649367503632,0.3421932868029342,0.3221191613380049,2.518863677869387,1.968516946857811,0.29528188659887894,0.34661026439202797,2.1959958854291575,1.5933520101074479,-0.046911400204055265,0.024491103054023078,-0.32286779244022945,-0.3751649367503631
cold_rna,Contact500 pretraining without SCA,rna_similarity_bin,0.5-0.8,554,446,0.035200613930767635,0.16437069854902822,0.18245577091417767,1.5336845175333262,1.1624407685943459,0.16594584673949045,0.1508017482734406,1.4872329339636197,1.1272401546635782,0.0015751481904622278,-0.03165402264073708,-0.04645158356970658,-0.03520061393076768
cold_rna,Contact500 pretraining without SCA,rna_similarity_bin,>=0.8,289,280,-0.0632076692416181,0.31916209110217275,0.39247374829465803,1.4553908826254784,1.20353223213275,0.20598609953645705,0.22663759960196742,1.5095242820130799,1.266739901374368,-0.1131759915657157,-0.16583614869269062,0.05413339938760142,0.06320766924161814
cold_rna,StructRSMA: Contact500 pretraining plus SCA,rna_similarity_bin,<0.5,45,45,1.3139405674404567,0.4069207386899596,0.4885513811626674,3.1772556054031096,2.423363373014662,0.5275857688379548,0.5270804552584696,1.3446270878745583,1.1094228055742053,0.12066503014799523,0.038529074095802196,-1.8326285175285513,-1.3139405674404567
cold_rna,StructRSMA: Contact500 pretraining plus SCA,rna_similarity_bin,0.5-0.8,241,241,0.26991888992024654,0.28849792195479357,0.2972884865143241,1.6035200898475164,1.2023188414291721,0.3687336605239494,0.35192107840085224,1.1920480373764641,0.9323999515089256,0.08023573856915583,0.05463259188652814,-0.41147205247105223,-0.2699188899202465
cold_rna,StructRSMA: Contact500 pretraining plus SCA,rna_similarity_bin,>=0.8,11,11,0.9314296462319114,-0.20578498124557518,0.10022805046720515,2.0917191546749443,1.8722942525690252,0.02025890637573825,0.11845133237033335,1.0844537062753794,0.9408646063371138,0.22604388762131342,0.018223281903128205,-1.0072654483995649,-0.9314296462319114
cold_scaffold,Contact500 pretraining without SCA,rna_similarity_bin,<0.5,68,54,0.08832168579101562,0.21901592572745085,0.2521094256644582,1.474529490852059,1.153979802832884,0.4356467468687724,0.4687455320419728,1.400156976153878,1.0656581170418684,0.21663082114132157,0.21663610637751457,-0.07437251469818107,-0.08832168579101562
cold_scaffold,Contact500 pretraining without SCA,rna_similarity_bin,0.5-0.8,609,459,-0.03280750988739463,0.29381843282256387,0.28053559233128217,1.271710447963594,1.0014783681809216,0.30555511141414743,0.2719719695247398,1.3151097109692078,1.0342858780683164,0.01173667859158356,-0.008563622806542381,0.04339926300561392,0.03280750988739478
cold_scaffold,Contact500 pretraining without SCA,rna_similarity_bin,>=0.8,243,197,-0.04060185298998168,0.4864100441811537,0.5212560479381901,1.3688295615987247,1.1081778139734464,0.3686025988842717,0.36187515299453205,1.4339880773090776,1.148779666963428,-0.11780744529688197,-0.1593808949436581,0.06515851571035292,0.040601852989981646
cold_scaffold,StructRSMA: Contact500 pretraining plus SCA,rna_similarity_bin,<0.5,29,29,0.2485517797798945,0.13669020342696353,0.04360142907810663,1.66447481794959,1.4012803949158767,0.65348975700968,0.6229831307261676,1.3515942119222393,1.1527286151359821,0.5167995535827166,0.579381701648061,-0.3128806060273508,-0.24855177977989462
cold_scaffold,StructRSMA: Contact500 pretraining plus SCA,rna_similarity_bin,0.5-0.8,229,229,0.038969171099267154,0.22071189920766787,0.1907833612595374,1.3136148032179682,1.0267565708493562,0.37403056829256337,0.4350966004426181,1.2243397680692814,0.987787399750089,0.1533186690848955,0.2443132391830807,-0.08927503514868684,-0.03896917109926723
cold_scaffold,StructRSMA: Contact500 pretraining plus SCA,rna_similarity_bin,>=0.8,64,64,-0.009197622537612901,0.4754439333971429,0.5731606883282837,1.2351647047624834,1.044958095997572,0.4360892105591627,0.47987223447201116,1.2502922190777797,1.0541557185351849,-0.039354722837980194,-0.09328845385627255,0.015127514315296242,0.009197622537612915
double_cold,Contact500 pretraining without SCA,rna_similarity_bin,<0.5,58,45,0.25159996542437324,0.1287781152135824,0.02307656866724514,2.174524185850814,1.7919242423156212,0.06595848643390347,0.11790588151051115,1.9722274253253076,1.540324276891248,-0.06281962877967893,0.09482931284326601,-0.2022967605255066,-0.25159996542437324
double_cold,Contact500 pretraining without SCA,rna_similarity_bin,0.5-0.8,308,290,0.1343240590838643,0.008392967574193229,-0.10033434654076145,1.5110767578374238,1.2272468976095898,0.1610689258389344,0.12280004435487671,1.3996584656926114,1.0929228385257257,0.15267595826474117,0.22313439089563816,-0.11141829214481236,-0.13432405908386413
double_cold,Contact500 pretraining without SCA,rna_similarity_bin,>=0.8,242,182,0.12957819631277037,0.0587745204851288,0.042693113491276746,1.7819953751746498,1.482841634553326,0.20565714449095357,0.2394770459338551,1.6332878787008216,1.3532634382405557,0.14688262400582477,0.19678393244257836,-0.1487074964738282,-0.12957819631277023
double_cold,StructRSMA: Contact500 pretraining plus SCA,rna_similarity_bin,<0.5,21,21,0.2281174205598377,0.11972934727438297,0.2059110209282141,1.778002110567847,1.5217898800259544,0.3914080703192658,0.41117248027621295,1.569983922733071,1.2936724594661169,0.27167872304488283,0.20526145934799886,-0.208018187834776,-0.22811742055983752
double_cold,StructRSMA: Contact500 pretraining plus SCA,rna_similarity_bin,0.5-0.8,88,88,0.36733179742639716,-0.07744400672117539,-0.07369867116336293,1.4547059286925805,1.2106249847195365,0.289733817350167,0.24879026050103678,1.05497958502343,0.8432931872931394,0.3671778240713424,0.32248893166439974,-0.3997263436691505,-0.3673317974263971
double_cold,StructRSMA: Contact500 pretraining plus SCA,rna_similarity_bin,>=0.8,61,61,0.5552168361476211,-0.030167956476347905,0.2267185989594366,2.1093135693541036,1.7255609856277216,0.40436753220098487,0.38586446203020436,1.4537472885814244,1.1703441494801006,0.43453548867733277,0.15914586307076775,-0.6555662807726792,-0.5552168361476211
independent,Contact500 pretraining without SCA,rna_similarity_bin,>=0.8,144,48,0.013753599590725344,0.3767603081864663,0.34870224881043427,0.9700523326778426,0.7714188281032774,0.4162061812996709,0.40265673129972646,0.9511703171116266,0.757665228512552,0.03944587311320463,0.05395448248929219,-0.018882015566216048,-0.013753599590725418
independent,Global-deoverlap Contact270 pretraining without SCA,rna_similarity_bin,>=0.8,144,48,0.005327416790856249,0.3767603081864663,0.34870224881043427,0.9700523326778426,0.7714188281032774,0.41789067237293465,0.40536410307416687,0.9663309927576512,0.7660914113124212,0.04113036418646837,0.0566618542637326,-0.0037213399201914132,-0.005327416790856243
independent,StructRSMA: Contact270 pretraining plus SCA,rna_similarity_bin,>=0.8,144,48,-0.007958369122611188,0.3767603081864663,0.34870224881043427,0.9700523326778426,0.7714188281032774,0.36801265603783073,0.3505775107744676,0.9746530894736131,0.7793771972258886,-0.008747652148635543,0.0018752619640333146,0.004600756795770433,0.007958369122611164
independent,StructRSMA: Contact500 pretraining plus SCA,rna_similarity_bin,>=0.8,144,48,-0.08598068853219354,0.3767603081864663,0.34870224881043427,0.9700523326778426,0.7714188281032774,0.3160356809530378,0.29507337450782317,1.0538518722187098,0.8573995166354709,-0.060724627233428474,-0.053628874302611096,0.08379953954086716,0.08598068853219343
cold_rna,Contact500 pretraining without SCA,ligand_similarity_bin,<0.4,648,518,0.05329287824807346,0.39120607614074393,0.36759942784972677,1.7180460581352939,1.3302767154887134,0.3498687300296932,0.3400073623230273,1.6484247954066307,1.2769838372406401,-0.04133734611105072,-0.02759206552669946,-0.0696212627286632,-0.05329287824807327
cold_rna,Contact500 pretraining without SCA,ligand_similarity_bin,0.4-0.8,170,149,0.08677486952613385,0.051527405304525646,0.08947689271100236,1.6899664029295614,1.2773276104646571,0.060038319452068854,0.11617956538990928,1.6136374637127906,1.1905527409385233,0.008510914147543208,0.026702672678906927,-0.07632893921677075,-0.08677486952613389
cold_rna,Contact500 pretraining without SCA,ligand_similarity_bin,>=0.8,142,130,-0.02927529308157903,0.09876459638305787,0.08830362114939208,1.35152586220414,1.0067921003825229,0.0770840158023924,0.02383065585942991,1.312620687316345,1.0360673934641018,-0.02168058058066548,-0.06447296528996217,-0.03890517488779488,0.029275293081578946
cold_rna,StructRSMA: Contact500 pretraining plus SCA,ligand_similarity_bin,<0.4,240,240,0.5204968611399333,0.3903436036849717,0.33348279106633755,1.9472849200546698,1.398381479519109,0.4707287053355972,0.42224593595306975,1.1147830834966435,0.8778846183791756,0.08038510165062551,0.0887631448867322,-0.8325018365580263,-0.5204968611399333
cold_rna,StructRSMA: Contact500 pretraining plus SCA,ligand_similarity_bin,0.4-0.8,34,34,0.5409249838660745,0.06297577299803628,0.06372736470641287,2.135707093845022,1.7358491560992073,0.2873090068727464,0.13738825148936493,1.4490246663429813,1.1949241722331327,0.22433323387471013,0.07366088678295206,-0.6866824275020407,-0.5409249838660746
cold_rna,StructRSMA: Contact500 pretraining plus SCA,ligand_similarity_bin,>=0.8,23,23,-0.3863996526469356,0.25330562522304145,0.5620216973335798,1.5733649167836743,1.0771740415821904,0.19448632292755721,0.35215561181943816,1.7081196197593886,1.463573694229126,-0.05881930229548424,-0.2098660855141416,0.13475470297571435,0.38639965264693554
cold_scaffold,Contact500 pretraining without SCA,ligand_similarity_bin,<0.4,481,388,0.07960935590668676,0.4546616492752418,0.490663741290791,1.2538292687413382,0.9854979425235003,0.5463407043197491,0.5733772950689511,1.1453448600793608,0.9058885866168135,0.09167905504450735,0.08271355377816009,-0.1084844086619774,-0.07960935590668683
cold_scaffold,Contact500 pretraining without SCA,ligand_similarity_bin,0.4-0.8,192,163,-0.09873313208421065,0.3210345412982994,0.2832878207275618,1.5900214974534097,1.2956459956864517,0.18983362826582087,0.1549273213269709,1.7085765054132835,1.3943791277706623,-0.13120091303247852,-0.1283604994005909,0.11855500795987384,0.09873313208421064
cold_scaffold,Contact500 pretraining without SCA,ligand_similarity_bin,>=0.8,247,159,-0.17479954653905955,0.26153531967931154,0.20829281647409323,1.1843736168490613,0.9508891501407392,0.07736199966204726,0.03424459122122954,1.4153496787628885,1.1256886966797988,-0.18417332001726427,-0.17404822525286368,0.23097606191382725,0.1747995465390596
cold_scaffold,StructRSMA: Contact500 pretraining plus SCA,ligand_similarity_bin,<0.4,167,167,0.07984975140965625,0.32138456622512845,0.3562300387488521,1.4864048309309943,1.205579172351403,0.49273870281953763,0.5253720853573108,1.3648067891325044,1.1257294209417468,0.17135413659440918,0.16914204660845872,-0.12159804179848988,-0.07984975140965633
cold_scaffold,StructRSMA: Contact500 pretraining plus SCA,ligand_similarity_bin,0.4-0.8,63,63,-0.022018848903595456,0.13707083851665414,0.07875660126037143,1.3051546688835856,1.0671699576907687,0.26362991883393105,0.3848249554512702,1.2605975550994102,1.0891888065943642,0.12655908031727692,0.3060683541908988,-0.04455711378417537,0.02201884890359551
cold_scaffold,StructRSMA: Contact500 pretraining plus SCA,ligand_similarity_bin,>=0.8,92,92,0.039082314657128386,0.2600442611820435,0.24677746987367571,1.0260586313528632,0.8051986435185308,0.3942275884166603,0.3869132959468172,0.9618414059702043,0.7661163288614025,0.1341833272346168,0.1401358260731415,-0.06421722538265895,-0.0390823146571283
double_cold,Contact500 pretraining without SCA,ligand_similarity_bin,<0.4,390,340,0.13608634288494403,0.18694164753334427,0.10015723244147903,1.6002683437840652,1.286310954621205,0.25776697268916293,0.21142452057825137,1.4846198609281966,1.150224611736261,0.07082532515581866,0.11126728813677234,-0.1156484828558686,-0.13608634288494414
double_cold,Contact500 pretraining without SCA,ligand_similarity_bin,0.4-0.8,141,109,0.18018664535901224,0.20703499883944768,0.06241700020720549,2.0441199894120725,1.7158776445591704,0.3993474335994691,0.39597555798971124,1.8353134114097713,1.5356909992001582,0.19231243476002144,0.33355855778250576,-0.20880657800230118,-0.1801866453590122
double_cold,Contact500 pretraining without SCA,ligand_similarity_bin,>=0.8,77,68,0.11483819453747236,-0.18702466834375525,-0.14735582827622595,1.4329548371310414,1.2619650116214505,0.14404037053276403,0.16403487221507837,1.3484713516337012,1.1471268170839781,0.3310650388765193,0.31139070049130435,-0.0844834854973402,-0.11483819453747235
double_cold,StructRSMA: Contact500 pretraining plus SCA,ligand_similarity_bin,<0.4,120,120,0.33115604321161907,-0.017900215122118004,-0.024410360847080263,1.5380211551285423,1.260114163160324,0.37665776661172184,0.3414944168253101,1.2034523654358975,0.928958119948705,0.3945579817338398,0.3659047776723904,-0.3345687896926448,-0.33115604321161907
double_cold,StructRSMA: Contact500 pretraining plus SCA,ligand_similarity_bin,0.4-0.8,35,35,0.8649503707885742,-0.25022122686375226,-0.017331515175689212,2.4861887006821277,2.2229633603777206,0.561145889970726,0.5378684387106633,1.565944332127455,1.3580129895891462,0.8113671168344783,0.5551999538863525,-0.9202443685546726,-0.8649503707885744
double_cold,StructRSMA: Contact500 pretraining plus SCA,ligand_similarity_bin,>=0.8,15,15,0.06479352315266922,0.27970463625281083,0.38385789166372836,1.259911727868803,0.9822926044464111,0.3566847643565002,0.40538263325234863,1.1254164229515857,0.9174990812937419,0.07698012810368937,0.021524741588620278,-0.13449530491721728,-0.06479352315266917
